,Unnamed: 0_x,title_x,year_x,time,type_x,Unnamed: 0_y,title_y,year_y,hour,type_y
7515,,,,142044,,4128.0,merebearforever,2013.0,14.0,like
7516,,,,141956,,4129.0,bunnymama,2013.0,14.0,like
7517,,,,141956,,5083.0,merebearforever,2014.0,14.0,like
7518,,,,141812,,4130.0,sashaalsberg,2013.0,14.0,like
7519,,,,141747,,4131.0,sashaalsberg,2013.0,14.0,like
7520,,,,141720,,4132.0,sashaalsberg,2013.0,14.0,like
7521,,,,44804,,4133.0,taylors.boyfriend,2013.0,4.0,like
7522,,,,44755,,4134.0,psitskayla,2013.0,4.0,like
7523,,,,44755,,10782.0,lily_marston,2016.0,4.0,like
7524,,,,44755,,14725.0,brandymelvilleusa,2017.0,4.0,like
7525,,,,35028,,4135.0,boycutter_,2013.0,3.0,like
7526,,,,34958,,4136.0,grownupfangirl,2013.0,3.0,like
7527,,,,34958,,28533.0,josefinehj,2020.0,3.0,like
7528,,,,34958,,34925.0,hannahg11,2021.0,3.0,like
7529,,,,34934,,4137.0,harrystiels,2013.0,3.0,like
7530,,,,142331,,4138.0,duckingglassmoles,2013.0,14.0,like
7531,,,,142227,,4139.0,duckingglassmoles,2013.0,14.0,like
7532,,,,142145,,4140.0,duckingglassmoles,2013.0,14.0,like
7533,,,,142145,,5015.0,gemmastyles,2013.0,14.0,like
7534,,,,142129,,4141.0,duckingglassmoles,2013.0,14.0,like
7535,,,,142129,,8126.0,babyanmals,2015.0,14.0,like
7536,,,,140308,,4142.0,grownupfangirl,2013.0,14.0,like
7537,,,,140308,,22676.0,annawinck,2019.0,14.0,like
7538,,,,140301,,4143.0,fangirl_till_i_drop,2013.0,14.0,like
7539,,,,140301,,22715.0,elliewatson,2019.0,14.0,like
7540,,,,140301,,28628.0,_sweetlikecinnamon,2020.0,14.0,like
7541,,,,134823,,4144.0,tyleroakley,2013.0,13.0,like
7542,,,,134803,,4145.0,cassadeepope,2013.0,13.0,like
7543,,,,134803,,19260.0,smushofficial,2019.0,13.0,like
7544,,,,31422,,4146.0,boycutter_,2013.0,3.0,like
7545,,,,31422,,11268.0,jessiepaege,2016.0,3.0,like
7546,,,,31422,,28241.0,charlotteslawrence,2020.0,3.0,like
7547,,,,31401,,4147.0,boycutter_,2013.0,3.0,like
7548,,,,31401,,38307.0,suns,2021.0,3.0,like
7549,,,,20811,,4148.0,nikkiphillippi,2013.0,2.0,like
7550,,,,12703,,4149.0,selenagomez,2013.0,1.0,like
7551,,,,12703,,6503.0,ladyoferudite,2014.0,1.0,like
7552,,,,12656,,4150.0,selenagomez,2013.0,1.0,like
7553,,,,12624,,4151.0,liamspersonal,2013.0,1.0,like
7554,,,,12624,,6360.0,shawnmendes,2014.0,1.0,like
7555,,,,231839,,4152.0,d_pressng,2013.0,23.0,like
7556,,,,231839,,35929.0,shesfarrout,2021.0,23.0,like
7557,,,,231612,,4153.0,kevinzegers1984,2013.0,23.0,like
7558,,,,231240,,4154.0,kevinzegers1984,2013.0,23.0,like
7559,,,,231240,,32366.0,charlotteslawrence,2021.0,23.0,like
7560,,,,231237,,4155.0,kevinzegers1984,2013.0,23.0,like
7561,,,,231237,,7017.0,hankgreen,2014.0,23.0,like
7562,,,,231237,,16869.0,karisjochen,2018.0,23.0,like
7563,,,,231235,,4156.0,kevinzegers1984,2013.0,23.0,like
7564,,,,231235,,4557.0,brandymelvilleusa,2013.0,23.0,like
7565,,,,231235,,38420.0,oliviaobrien,2022.0,23.0,like
7566,,,,231225,,4157.0,kevinzegers1984,2013.0,23.0,like
7567,,,,231028,,4158.0,kevinzegers1984,2013.0,23.0,like
7568,,,,230900,,4159.0,instabraid,2013.0,23.0,like
7569,,,,145211,,4160.0,onedirection,2013.0,14.0,like
7570,,,,145211,,13978.0,gigihadid,2017.0,14.0,like
7571,,,,230222,,4161.0,weinspireyourfashion,2013.0,23.0,like
7572,,,,230222,,25588.0,humansofny,2020.0,23.0,like
7573,,,,230222,,37110.0,peppermayo,2021.0,23.0,like
7574,,,,225028,,4162.0,taylors.boyfriend,2013.0,22.0,like
7575,,,,225028,,10189.0,shopfrankiephoenix,2016.0,22.0,like
7576,,,,225028,,28896.0,jourdansloane,2020.0,22.0,like
7577,,,,213609,,4163.0,littlemissnorthwest,2013.0,21.0,like
7578,,,,213609,,25858.0,sportyandrich,2020.0,21.0,like
7579,,,,212836,,4164.0,liamspersonal,2013.0,21.0,like
7580,,,,184136,,4166.0,justgirlythingsxx,2013.0,18.0,like
7581,,,,184136,,28040.0,yogabigabiiii,2020.0,18.0,like
7582,,,,165557,,4167.0,itsbubz,2013.0,16.0,like
7583,,,,165523,,4168.0,essie,2013.0,16.0,like
7584,,,,164558,,4170.0,littlemix,2013.0,16.0,like
7585,,,,164549,,4171.0,littlemix,2013.0,16.0,like
7586,,,,164247,,4172.0,june18_,2013.0,16.0,like
7587,,,,164247,,39456.0,clean_oof_memes,2022.0,16.0,like
7588,,,,154458,,4173.0,eleanorcalder,2013.0,15.0,like
7589,,,,154455,,4174.0,eleanorcalder,2013.0,15.0,like
7590,,,,154448,,4175.0,eleanorcalder,2013.0,15.0,like
7591,,,,154442,,4176.0,eleanorcalder,2013.0,15.0,like
7592,,,,154436,,4177.0,eleanorcalder,2013.0,15.0,like
7593,,,,154300,,4178.0,bunnymama,2013.0,15.0,like
7594,,,,42517,,4179.0,kevinzegers1984,2013.0,4.0,like
7595,,,,42517,,38056.0,dianne.caras,2022.0,4.0,like
7596,,,,12733,,4180.0,debbyryan,2013.0,1.0,like
7597,,,,12733,,10043.0,ninetynineyikes,2016.0,1.0,like
7598,,,,11338,,4181.0,perseajackson,2013.0,1.0,like
7599,,,,5357,,4183.0,kevinzegers1984,2013.0,0.0,like
7600,,,,3902,,4184.0,melissagisoni,2013.0,0.0,like
7601,,,,3707,,4186.0,grownupfangirl,2013.0,0.0,like
7602,,,,3707,,10716.0,tyleroakley,2016.0,0.0,like
7603,,,,3707,,12811.0,soundersfc,2016.0,0.0,like
7604,,,,3638,,4187.0,ikisspayne,2013.0,0.0,like
7605,,,,3638,,23232.0,poseandrepeat,2019.0,0.0,like
7606,,,,3638,,36648.0,ccursedclub,2021.0,0.0,like
7607,,,,1827,,4188.0,instabraid,2013.0,0.0,like
7608,,,,1747,,4190.0,willowshields,2013.0,0.0,like
7609,,,,1726,,4191.0,weinspireyourfashion,2013.0,0.0,like
7610,,,,1726,,23588.0,elliewatson,2019.0,0.0,like
7611,,,,1726,,34880.0,haileysani,2021.0,0.0,like
7612,,,,1717,,4192.0,carmdesiree,2013.0,0.0,like
7613,,,,1717,,16169.0,summerferguson,2017.0,0.0,like
7614,,,,1717,,37018.0,briidgetbrown,2021.0,0.0,like
7615,,,,1700,,4193.0,heyitsannabanana,2013.0,0.0,like
7616,,,,1700,,22947.0,annawinck,2019.0,0.0,like
7617,,,,536,,4194.0,someinfinites,2013.0,0.0,like
7618,,,,407,,4195.0,ladyoferudite,2013.0,0.0,like
7619,,,,407,,4726.0,selenagomez,2013.0,0.0,like
7620,,,,407,,12616.0,laurenkellymiranda,2016.0,0.0,like
7621,,,,407,,15982.0,hannah_wask,2017.0,0.0,like
7622,,,,356,,4196.0,lululemon,2013.0,0.0,like
7623,,,,356,,39614.0,paige_on_a_page,2022.0,0.0,like
7624,,,,232318,,4197.0,runwaydreamz,2013.0,23.0,like
7625,,,,232318,,36518.0,pillowpersonpp,2021.0,23.0,like
7626,,,,231835,,4198.0,brooklynandbailey,2013.0,23.0,like
7627,,,,231835,,21347.0,kathytassielli,2019.0,23.0,like
7628,,,,231833,,4199.0,brooklynandbailey,2013.0,23.0,like
7629,,,,231826,,4200.0,brooklynandbailey,2013.0,23.0,like
7630,,,,231826,,36119.0,realisationpar,2021.0,23.0,like
7631,,,,231809,,4201.0,brooklynandbailey,2013.0,23.0,like
7632,,,,231809,,18691.0,shelbo800,2019.0,23.0,like
7633,,,,231809,,31643.0,goodgoodgoodco,2020.0,23.0,like
7634,,,,231809,,37759.0,miyavlikedicikler,2021.0,23.0,like
7635,,,,231750,,4202.0,brooklynandbailey,2013.0,23.0,like
7636,,,,231731,,4203.0,brooklynandbailey,2013.0,23.0,like
7637,,,,231716,,4204.0,brooklynandbailey,2013.0,23.0,like
7638,,,,231640,,4206.0,brooklynandbailey,2013.0,23.0,like
7639,,,,231640,,9137.0,ninetynineyikes,2016.0,23.0,like
7640,,,,231620,,4207.0,brooklynandbailey,2013.0,23.0,like
7641,,,,231558,,4208.0,mindymcknight,2013.0,23.0,like
7642,,,,231558,,36472.0,drew_timme2,2021.0,23.0,like
7643,,,,231544,,4209.0,mindymcknight,2013.0,23.0,like
7644,,,,231418,,4210.0,liamspersonal,2013.0,23.0,like
7645,,,,230300,,4211.0,miserable_magical,2013.0,23.0,like
7646,,,,194218,,4212.0,seahawks,2013.0,19.0,like
7647,,,,193943,,4213.0,theresacarstairs,2013.0,19.0,like
7648,,,,193931,,4214.0,brandymelvilleusa,2013.0,19.0,like
7649,,,,193702,,4216.0,starlightswift,2013.0,19.0,like
7650,,,,193702,,29694.0,nicolaannepeltzbeckham,2020.0,19.0,like
7651,,,,193618,,4218.0,ladyoferudite,2013.0,19.0,like
7652,,,,193618,,21310.0,romeestrijd,2019.0,19.0,like
7653,,,,193618,,23757.0,jourdansloane,2020.0,19.0,like
7654,,,,193550,,4219.0,leighannepinnock,2013.0,19.0,like
7655,,,,193221,,4221.0,lottietomlinson,2013.0,19.0,like
7656,,,,193221,,32545.0,maybeitsmaybelllllllline,2021.0,19.0,like
7657,,,,193056,,4222.0,tyleroakley,2013.0,19.0,like
7658,,,,193052,,4223.0,5sxs,2013.0,19.0,like
7659,,,,193052,,35295.0,leximars,2021.0,19.0,like
7660,,,,193050,,4224.0,forever21,2013.0,19.0,like
7661,,,,193050,,19969.0,georgia.griffith,2019.0,19.0,like
7662,,,,193050,,39343.0,renatosobailarinos,2022.0,19.0,like
7663,,,,193047,,4225.0,ladyoferudite,2013.0,19.0,like
7664,,,,193047,,40366.0,zagwbb,2022.0,19.0,like
7665,,,,163404,,4226.0,5sxs,2013.0,16.0,like
7666,,,,232405,,4227.0,justgirlythingsxx,2013.0,23.0,like
7667,,,,232238,,4228.0,niallhoran,2013.0,23.0,like
7668,,,,141027,,4229.0,grownupfangirl,2013.0,14.0,like
7669,,,,15758,,4230.0,talktothehandpolish,2013.0,1.0,like
7670,,,,15722,,4231.0,littlemissnorthwest,2013.0,1.0,like
7671,,,,15601,,4232.0,boycutter_,2013.0,1.0,like
7672,,,,15538,,4233.0,boycutter_,2013.0,1.0,like
7673,,,,15538,,25680.0,gonzagau2024,2020.0,1.0,like
7674,,,,15538,,40542.0,guaffirmations,2022.0,1.0,like
7675,,,,172448,,4235.0,ladyoferudite,2013.0,17.0,like
7676,,,,172448,,10925.0,textpostfeminist,2016.0,17.0,like
7677,,,,163816,,4237.0,niallhoran,2013.0,16.0,like
7678,,,,163816,,8856.0,mxgicaltumblr,2016.0,16.0,like
7679,,,,163812,,4238.0,niallhoran,2013.0,16.0,like
7680,,,,163812,,17036.0,hummusmem3s,2018.0,16.0,like
7681,,,,163812,,27332.0,sydney_grady,2020.0,16.0,like
7682,,,,163809,,4239.0,niallhoran,2013.0,16.0,like
7683,,,,163807,,4240.0,niallhoran,2013.0,16.0,like
7684,,,,163807,,15242.0,brandymelvilleusa,2017.0,16.0,like
7685,,,,163755,,4242.0,niallhoran,2013.0,16.0,like
7686,,,,163751,,4243.0,niallhoran,2013.0,16.0,like
7687,,,,163735,,4244.0,niallhoran,2013.0,16.0,like
7688,,,,163735,,11376.0,seriousaboutsirius,2016.0,16.0,like
7689,,,,163732,,4245.0,niallhoran,2013.0,16.0,like
